> SIRV101
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 35 36 193
  102:678|fcde4745-e76c-43b3-bccc-4ba27bd2888e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=53629_ch=44_start_time=2019-04-13T06:56:45Z_strand=+_strand=+ 220 143 101
  102:678|fcde4745-e76c-43b3-bccc-4ba27bd2888e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=53629_ch=44_start_time=2019-04-13T06:56:45Z_strand=+_strand=+ 327 367 82
  54:1132|684e58ad-6815-4b9d-b09a-b0a2de1b66ed_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=52085_ch=252_start_time=2019-04-13T03:55:12Z_strand=-_strand=+ 446 1 245
  54:1132|684e58ad-6815-4b9d-b09a-b0a2de1b66ed_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=52085_ch=252_start_time=2019-04-13T03:55:12Z_strand=-_strand=+ 701 371 44
  59:641|d999c76d-64ad-4f9e-8eed-1d21309abf5f_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=27800_ch=104_start_time=2019-04-12T21:58:53Z_strand=-_strand=+ 230 150 60
  58:636|4a0743b9-d692-4ee1-8fce-ef45406bbb70_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=24709_ch=75_start_time=2019-04-12T21:32:22Z_strand=-_strand=+ 219 143 46
  58:636|4a0743b9-d692-4ee1-8fce-ef45406bbb70_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=24709_ch=75_start_time=2019-04-12T21:32:22Z_strand=-_strand=+ 329 367 68
  111:882|6a26e40c-5ddf-4fd0-8fba-2d0ed89d2143_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=19316_ch=453_start_time=2019-04-12T20:05:15Z_strand=+_strand=+ 473 371 81
  56:590|c7a97d2d-73c6-465e-be1c-b0ec1cf361ea_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=55299_ch=488_start_time=2019-04-13T02:19:28Z_strand=-_strand=+ 243 20 215
  112:567|3a5cf238-f6a3-4399-a997-9aff6c4d2af8_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=66276_ch=454_start_time=2019-04-13T07:52:55Z_strand=+_strand=+ 0 1 444
  106:1669|cdc0e615-6b66-4c5b-ad7b-32b84d0e0303_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=33807_ch=469_start_time=2019-04-12T23:48:59Z_strand=+_strand=+ 599 101 132
  106:1669|cdc0e615-6b66-4c5b-ad7b-32b84d0e0303_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=33807_ch=469_start_time=2019-04-12T23:48:59Z_strand=+_strand=+ 753 371 82
  54:1568|c52253fe-2487-4fcc-b370-3131801aca88_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=28048_ch=171_start_time=2019-04-12T22:10:42Z_strand=-_strand=+ 516 36 197
  54:1568|c52253fe-2487-4fcc-b370-3131801aca88_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=28048_ch=171_start_time=2019-04-12T22:10:42Z_strand=-_strand=+ 735 376 62
  105:665|8ddc7007-dba3-4860-b3e8-e2d1303f343f_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=96129_ch=404_start_time=2019-04-13T14:50:58Z_strand=+_strand=+ 291 53 85
  52:513|26d02150-db49-43f6-bf73-b9bcd8930900_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=7211_ch=494_start_time=2019-04-12T17:12:54Z_strand=-_strand=+ 6 5 439
  57:508|add081a7-4f22-415e-9409-6b58f539b471_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=90347_ch=334_start_time=2019-04-13T15:09:37Z_strand=-_strand=+ 13 17 63
  57:508|add081a7-4f22-415e-9409-6b58f539b471_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=90347_ch=334_start_time=2019-04-13T15:09:37Z_strand=-_strand=+ 193 198 248
  48:584|6e73a491-d15a-4d2f-bddd-b2bc04f62a2c_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=153321_ch=361_start_time=2019-04-14T04:42:20Z_strand=-_strand=+ 240 0 177
  48:584|6e73a491-d15a-4d2f-bddd-b2bc04f62a2c_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=153321_ch=361_start_time=2019-04-14T04:42:20Z_strand=-_strand=+ 423 202 41
  56:601|db2ed2dd-5b30-4151-a79c-3356f2df1f87_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=59442_ch=103_start_time=2019-04-13T08:30:57Z_strand=-_strand=+ 233 3 240
  54:341|1d6dc8ff-d636-461f-9cda-01963d1d90c2_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=59157_ch=450_start_time=2019-04-13T04:35:39Z_strand=-_strand=+ 43 39 57
  54:341|1d6dc8ff-d636-461f-9cda-01963d1d90c2_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=59157_ch=450_start_time=2019-04-13T04:35:39Z_strand=-_strand=+ 134 134 105
  112:576|94fc539b-7e0c-4f47-b6df-771bee20905a_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=70146_ch=44_start_time=2019-04-13T13:23:54Z_strand=+_strand=+ 31 33 89
  112:576|94fc539b-7e0c-4f47-b6df-771bee20905a_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=70146_ch=44_start_time=2019-04-13T13:23:54Z_strand=+_strand=+ 247 240 80
  112:576|94fc539b-7e0c-4f47-b6df-771bee20905a_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=70146_ch=44_start_time=2019-04-13T13:23:54Z_strand=+_strand=+ 374 371 44
  29:809|e584538c-5bd1-4f32-9179-9b51897e35b2_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=61577_ch=285_start_time=2019-04-13T07:05:00Z_strand=-_strand=+ 479 367 70
  104:679|ef714a94-97e3-47f5-80ad-c23780eb277f_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=57494_ch=55_start_time=2019-04-13T04:55:41Z_strand=+_strand=+ 229 146 60
  104:679|ef714a94-97e3-47f5-80ad-c23780eb277f_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=57494_ch=55_start_time=2019-04-13T04:55:41Z_strand=+_strand=+ 337 373 78
  110:665|6bab4f11-f046-49c7-8b1a-c26a60eab3df_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=92939_ch=450_start_time=2019-04-13T17:24:17Z_strand=+_strand=+ 258 11 73
  58:509|fbff56a6-05ac-4c22-abfe-b1fb98a0041a_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=66227_ch=364_start_time=2019-04-13T07:56:06Z_strand=-_strand=+ 0 1 441
  53:1232|4d93a1c8-56c2-4463-8397-81c002981ab7_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=124529_ch=485_start_time=2019-04-13T22:39:53Z_strand=-_strand=+ 54 11 221
  113:553|c3808e93-6cbe-46d4-98ac-9806fb91f072_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=40717_ch=433_start_time=2019-04-13T00:59:58Z_strand=+_strand=+ 104 110 145
  113:553|c3808e93-6cbe-46d4-98ac-9806fb91f072_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=40717_ch=433_start_time=2019-04-13T00:59:58Z_strand=+_strand=+ 342 365 74
  53:499|6ccfbb01-8ffc-4478-8c8e-0b74b1e64470_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=3361_ch=114_start_time=2019-04-12T16:36:41Z_strand=-_strand=+ 8 10 145
  53:499|6ccfbb01-8ffc-4478-8c8e-0b74b1e64470_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=3361_ch=114_start_time=2019-04-12T16:36:41Z_strand=-_strand=+ 236 240 131
  106:906|1c1ebf8d-e217-4c10-ad9f-69e95f07b9b4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=57908_ch=109_start_time=2019-04-13T18:49:28Z_strand=+_strand=+ 507 372 65
  56:510|1c8f0f61-7673-4020-b00e-6b94d601a857_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=79439_ch=180_start_time=2019-04-13T10:23:40Z_strand=-_strand=+ 30 32 412
  115:1204|bb1e03a2-367f-4782-86d7-a88ce6c1ae0e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=54426_ch=87_start_time=2019-04-13T04:31:11Z_strand=+_strand=+ 448 4 244
  115:1204|bb1e03a2-367f-4782-86d7-a88ce6c1ae0e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=54426_ch=87_start_time=2019-04-13T04:31:11Z_strand=+_strand=+ 702 371 44
  109:504|1c51ea37-f9d1-4ab7-a7da-9b3eb6f4e4a6_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=79792_ch=210_start_time=2019-04-13T11:40:02Z_strand=+_strand=+ 227 155 82
  57:519|e28385cd-7b60-41c0-97cf-00195edb22e4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=40282_ch=297_start_time=2019-04-13T00:06:18Z_strand=-_strand=+ 17 19 172
  57:519|e28385cd-7b60-41c0-97cf-00195edb22e4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=40282_ch=297_start_time=2019-04-13T00:06:18Z_strand=-_strand=+ 207 204 233
  61:631|b0194cfb-f83d-4ced-99a3-e7f3438853e4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=92804_ch=67_start_time=2019-04-13T18:27:12Z_strand=-_strand=+ 232 155 55
  55:516|d0127e58-5b82-4905-8a02-2d9451749441_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=105605_ch=485_start_time=2019-04-13T17:55:39Z_strand=-_strand=+ 6 7 44
  55:516|d0127e58-5b82-4905-8a02-2d9451749441_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=105605_ch=485_start_time=2019-04-13T17:55:39Z_strand=-_strand=+ 116 114 269
  88:1140|0a33d540-5999-43f2-b680-03f8a5a696ad_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=126331_ch=364_start_time=2019-04-13T22:36:35Z_strand=+_strand=+ 426 9 217
  88:1140|0a33d540-5999-43f2-b680-03f8a5a696ad_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=126331_ch=364_start_time=2019-04-13T22:36:35Z_strand=+_strand=+ 658 367 74
  105:656|e74ade75-3064-4ca2-b16e-66cf40545a23_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=38081_ch=500_start_time=2019-04-13T00:09:19Z_strand=+_strand=+ 239 3 240
  102:676|5e70d7c5-3e6e-4b63-9c1c-e3af8f4ffe68_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=43353_ch=443_start_time=2019-04-13T01:43:42Z_strand=+_strand=+_rescue=1 234 157 87
  111:898|e2d283ef-f35c-440b-af39-62ea04088db4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=41134_ch=331_start_time=2019-04-13T03:17:38Z_strand=+_strand=+ 479 367 73
  108:1195|69cfb650-90e5-4dd9-8901-e7edf5f10848_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=22943_ch=34_start_time=2019-04-12T21:16:06Z_strand=+_strand=+ 452 0 229
  108:1195|69cfb650-90e5-4dd9-8901-e7edf5f10848_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=22943_ch=34_start_time=2019-04-12T21:16:06Z_strand=+_strand=+ 698 367 84
  53:584|aa5911a8-3161-419b-a08c-2079ad3c1624_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=6268_ch=508_start_time=2019-04-12T16:57:09Z_strand=-_strand=+ 229 1 195
  107:693|74134819-d514-44ce-9323-776453e0adac_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=12142_ch=449_start_time=2019-04-12T17:54:01Z_strand=+_strand=+ 243 157 76
  108:1197|f89a19e5-152e-4e2e-8955-a3952a1e3aa8_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=41135_ch=194_start_time=2019-04-13T01:08:14Z_strand=+_strand=+ 494 52 68
  57:1586|4895d470-5aed-4d30-99cd-539c48d471d5_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25604_ch=417_start_time=2019-04-12T21:26:35Z_strand=-_strand=+ 501 27 204
  57:1586|4895d470-5aed-4d30-99cd-539c48d471d5_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25604_ch=417_start_time=2019-04-12T21:26:35Z_strand=-_strand=+ 721 367 83
  56:628|45fb4cd9-2706-4d35-ab60-cae287f86ef5_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=101966_ch=15_start_time=2019-04-13T16:03:44Z_strand=-_strand=+ 220 146 75
  56:628|45fb4cd9-2706-4d35-ab60-cae287f86ef5_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=101966_ch=15_start_time=2019-04-13T16:03:44Z_strand=-_strand=+ 327 372 67
  95:559|90138b76-278b-4659-890e-5ad48dcb90f9_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=74896_ch=464_start_time=2019-04-13T09:55:53Z_strand=+_strand=+ 23 4 428
  110:696|ffcc3bc7-cbd2-494f-896b-28b3f06dec3c_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=32517_ch=197_start_time=2019-04-12T23:35:25Z_strand=+_strand=+ 237 146 87
  110:696|ffcc3bc7-cbd2-494f-896b-28b3f06dec3c_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=32517_ch=197_start_time=2019-04-12T23:35:25Z_strand=+_strand=+ 340 371 44
  58:632|915127ff-a448-4597-8745-fb2fe7061020_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=12766_ch=381_start_time=2019-04-12T18:09:49Z_strand=-_strand=+ 220 151 91
  58:632|915127ff-a448-4597-8745-fb2fe7061020_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=12766_ch=381_start_time=2019-04-12T18:09:49Z_strand=-_strand=+ 318 367 83
> SIRV608
  41:650|d00e6247-9de6-485c-9b44-806023c51f13_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=83160_ch=355_start_time=2019-04-13T13:02:27Z_strand=+_strand=+ 481 82 90
  51:505|e3c93db3-c179-4b0d-97a1-2f984d8fdc74_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=32251_ch=315_start_time=2019-04-12T22:50:03Z_strand=-_strand=+ 196 88 36
  51:505|e3c93db3-c179-4b0d-97a1-2f984d8fdc74_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=32251_ch=315_start_time=2019-04-12T22:50:03Z_strand=-_strand=+ 367 140 71
  99:678|1a8e6ff8-6abb-497e-a4db-73e5d5f1ab79_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=38546_ch=350_start_time=2019-04-13T00:59:03Z_strand=+_strand=+ 283 87 269
  101:520|c0824638-7c6a-47b3-98d6-d11513e1f693_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=78535_ch=47_start_time=2019-04-13T10:06:57Z_strand=+_strand=+ 286 82 127
  19:787|2a6ab351-b0ad-4fd1-a780-1bf901681453_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=32388_ch=223_start_time=2019-04-12T23:22:14Z_strand=-_strand=+ 472 145 149
  58:513|3f3960e7-6577-46ea-a43b-e61c142a973c_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=45682_ch=37_start_time=2019-04-13T02:34:42Z_strand=-_strand=+ 367 144 44
  56:513|a5b04d2d-5ca7-441d-adef-b177eea5b3b6_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=16933_ch=102_start_time=2019-04-12T19:22:52Z_strand=-_strand=+ 363 140 72
  128:906|e78702fb-0a05-4907-8d39-2561f8de9fcf_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=55414_ch=97_start_time=2019-04-13T04:48:53Z_strand=+_strand=+ 478 140 194
  59:633|1ba0ee85-99f8-441e-af29-1a74368420f0_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=4445_ch=203_start_time=2019-04-12T16:48:11Z_strand=-_strand=+ 291 110 198
  55:834|bfb605c7-cd77-495c-9933-eb9e7c94b37e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=20188_ch=328_start_time=2019-04-12T20:25:38Z_strand=-_strand=+ 496 152 55
  55:834|bfb605c7-cd77-495c-9933-eb9e7c94b37e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=20188_ch=328_start_time=2019-04-12T20:25:38Z_strand=-_strand=+ 574 236 80
  59:518|d209dfed-635b-430d-af59-d7b68970ccd7_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=38743_ch=186_start_time=2019-04-13T00:50:58Z_strand=-_strand=+ 363 140 84
  108:641|ed72adcc-acb1-4bd1-922b-5648c2cc8f03_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=37923_ch=98_start_time=2019-04-13T00:26:11Z_strand=+_strand=+ 406 82 76
  101:866|bb8ab914-0e21-4a21-a93d-7e32e5c91840_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=9423_ch=214_start_time=2019-04-12T17:51:12Z_strand=+_strand=+ 469 140 186
  57:1692|06f68056-fe12-4a7b-bdc2-5f5ab6f8096b_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=69233_ch=454_start_time=2019-04-13T08:38:25Z_strand=-_strand=+ 698 89 145
  56:1584|aad3a075-7829-474d-bd11-a027257b4546_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=84927_ch=52_start_time=2019-04-13T12:16:12Z_strand=-_strand=+ 712 128 182
  106:674|978d84fa-efb5-47c4-910f-e8e7318883fb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=33438_ch=193_start_time=2019-04-12T23:28:15Z_strand=+_strand=+ 269 83 269
  102:678|fcde4745-e76c-43b3-bccc-4ba27bd2888e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=53629_ch=44_start_time=2019-04-13T06:56:45Z_strand=+_strand=+ 269 82 285
  54:1132|684e58ad-6815-4b9d-b09a-b0a2de1b66ed_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=52085_ch=252_start_time=2019-04-13T03:55:12Z_strand=-_strand=+ 639 82 203
  111:891|652d3ba7-b67c-41c9-ad24-1c42e890e9d2_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=23762_ch=283_start_time=2019-04-12T21:20:01Z_strand=+_strand=+ 496 156 185
  59:641|d999c76d-64ad-4f9e-8eed-1d21309abf5f_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=27800_ch=104_start_time=2019-04-12T21:58:53Z_strand=-_strand=+ 271 82 237
  58:636|4a0743b9-d692-4ee1-8fce-ef45406bbb70_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=24709_ch=75_start_time=2019-04-12T21:32:22Z_strand=-_strand=+ 317 128 215
  111:882|6a26e40c-5ddf-4fd0-8fba-2d0ed89d2143_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=19316_ch=453_start_time=2019-04-12T20:05:15Z_strand=+_strand=+ 473 144 200
  56:590|c7a97d2d-73c6-465e-be1c-b0ec1cf361ea_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=55299_ch=488_start_time=2019-04-13T02:19:28Z_strand=-_strand=+ 408 84 83
  112:567|3a5cf238-f6a3-4399-a997-9aff6c4d2af8_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=66276_ch=454_start_time=2019-04-13T07:52:55Z_strand=+_strand=+ 198 90 44
  112:567|3a5cf238-f6a3-4399-a997-9aff6c4d2af8_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=66276_ch=454_start_time=2019-04-13T07:52:55Z_strand=+_strand=+ 361 140 83
  61:862|f2fc5fe9-f878-4ca6-9c70-cd7f1ff07af6_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=66766_ch=39_start_time=2019-04-13T08:06:14Z_strand=-_strand=+ 503 150 220
  106:1669|cdc0e615-6b66-4c5b-ad7b-32b84d0e0303_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=33807_ch=469_start_time=2019-04-12T23:48:59Z_strand=+_strand=+ 696 89 277
  54:1568|c52253fe-2487-4fcc-b370-3131801aca88_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=28048_ch=171_start_time=2019-04-12T22:10:42Z_strand=-_strand=+ 669 83 164
  54:1568|c52253fe-2487-4fcc-b370-3131801aca88_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=28048_ch=171_start_time=2019-04-12T22:10:42Z_strand=-_strand=+ 847 266 100
  103:903|cfab8bb1-b787-40c0-b751-354dfd956251_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=79300_ch=210_start_time=2019-04-13T11:32:50Z_strand=+_strand=+ 528 173 170
  105:665|8ddc7007-dba3-4860-b3e8-e2d1303f343f_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=96129_ch=404_start_time=2019-04-13T14:50:58Z_strand=+_strand=+ 444 95 63
  108:895|6cdd7a91-b4a5-455d-9f10-dee3b8c30896_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=43747_ch=2_start_time=2019-04-13T01:52:11Z_strand=+_strand=+ 493 158 99
  108:895|6cdd7a91-b4a5-455d-9f10-dee3b8c30896_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=43747_ch=2_start_time=2019-04-13T01:52:11Z_strand=+_strand=+ 605 263 65
  52:513|26d02150-db49-43f6-bf73-b9bcd8930900_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=7211_ch=494_start_time=2019-04-12T17:12:54Z_strand=-_strand=+ 362 140 94
  99:683|2e3a6569-b703-45eb-b8a0-93067bbca6ec_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=74416_ch=335_start_time=2019-04-13T16:35:09Z_strand=+_strand=+ 286 101 156
  57:508|add081a7-4f22-415e-9409-6b58f539b471_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=90347_ch=334_start_time=2019-04-13T15:09:37Z_strand=-_strand=+ 197 93 41
  57:508|add081a7-4f22-415e-9409-6b58f539b471_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=90347_ch=334_start_time=2019-04-13T15:09:37Z_strand=-_strand=+ 360 140 81
  100:905|a28abf0e-0bbe-4320-9bf6-2acd3ac33a64_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=99139_ch=66_start_time=2019-04-13T18:41:51Z_strand=+_strand=+ 529 164 174
  113:682|ca11ec7e-aa2f-416f-85b1-d815c1f4aac1_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=103067_ch=388_start_time=2019-04-13T21:50:55Z_strand=+_strand=+ 313 125 165
